journal,year,edition,referenced num this year,published num in the first 6 months,published num this year,num of paper,num of self_scitation in the first 6 months,num of self_scitation,num of reference this year,review doctype num,something,num authors
ARCH PHYSIOL BIOCHEM,2008,,0,0,0,0,0,0,0,0,0,0
ARCH PHYSIOL BIOCHEM,2009,,0,0,0,0,0,0,0,0,0,0
ARCH PHYSIOL BIOCHEM,2010,,0,0,0,0,0,0,0,0,0,0
ARCH PHYSIOL BIOCHEM,2011,WOS.SCI,0,0,5,5,0,0,35,0,0,30
ARCH PHYSIOL BIOCHEM,2012,WOS.SCI,8,10,30,30,0,0,409,4,0,163
ARCH PHYSIOL BIOCHEM,2013,WOS.SCI,57,11,27,27,2,3,548,2,24,142
LINGUISTICS,2008,,0,0,0,0,0,0,0,0,0,0
LINGUISTICS,2009,WOS.SSCI,0,5,5,5,0,0,5,0,0,5
LINGUISTICS,2010,WOS.SSCI,3,15,15,15,2,2,20,2,2,22
LINGUISTICS,2011,WOS.SSCI,9,22,22,22,0,0,72,0,4,41
LINGUISTICS,2012,WOS.SSCI,17,27,27,27,1,1,71,0,8,44
LINGUISTICS,2013,WOS.SSCI,32,18,29,29,0,2,124,1,9,53
PSYCHIAT ANN,2008,WOS.SSCI,2,8,31,31,0,2,73,0,0,78
PSYCHIAT ANN,2009,WOS.SSCI,14,23,45,45,1,5,130,3,4,110
PSYCHIAT ANN,2010,WOS.SSCI,38,31,62,62,0,0,366,6,21,147
PSYCHIAT ANN,2011,WOS.SSCI,90,38,80,80,1,8,551,0,41,166
PSYCHIAT ANN,2012,WOS.SSCI,128,30,70,70,3,3,541,0,14,145
PSYCHIAT ANN,2013,WOS.SSCI,128,36,74,74,10,11,605,2,11,197
RADIAT PROT DOSIM,2008,WOS.SCI,5,9,70,70,0,5,118,0,0,235
RADIAT PROT DOSIM,2009,WOS.SCI,61,32,88,88,4,15,185,2,15,316
RADIAT PROT DOSIM,2010,WOS.SCI,253,125,234,234,41,68,674,1,99,797
RADIAT PROT DOSIM,2011,WOS.SCI,459,216,335,335,53,93,953,6,113,1250
RADIAT PROT DOSIM,2012,WOS.SCI,777,170,298,298,100,182,1234,2,263,1202
RADIAT PROT DOSIM,2013,WOS.SCI,1092,120,284,284,106,265,1617,3,273,1146
ENVIRONMENT,2008,WOS.SCI,1,2,10,10,0,0,16,0,0,18
ENVIRONMENT,2009,WOS.SCI,21,5,10,10,3,5,38,0,8,15
ENVIRONMENT,2010,WOS.SCI,45,10,19,19,3,6,80,0,18,49
ENVIRONMENT,2011,WOS.SCI,58,8,19,19,0,2,88,0,9,55
ENVIRONMENT,2012,WOS.SCI,110,15,19,19,6,8,90,0,24,41
ENVIRONMENT,2013,WOS.SCI,140,9,17,17,2,5,87,0,19,67
DENT MATER,2008,WOS.SCI,1,2,14,14,0,0,17,0,0,63
DENT MATER,2009,WOS.SCI,83,47,123,123,7,28,336,0,18,475
DENT MATER,2010,WOS.SCI,353,74,145,145,24,72,806,9,118,542
DENT MATER,2011,WOS.SCI,926,74,161,161,103,234,1398,7,383,596
DENT MATER,2012,WOS.SCI,1700,85,173,173,186,363,1763,5,527,641
DENT MATER,2013,WOS.SCI,2664,83,176,176,279,537,2524,6,678,722
J QUATERNARY SCI,2008,WOS.SCI,35,8,25,25,14,24,60,4,0,95
J QUATERNARY SCI,2009,WOS.SCI,142,18,56,56,8,32,181,7,41,209
J QUATERNARY SCI,2010,WOS.SCI,361,47,119,119,32,67,743,10,117,472
J QUATERNARY SCI,2011,WOS.SCI,537,46,93,93,35,56,834,0,184,397
J QUATERNARY SCI,2012,WOS.SCI,905,46,100,100,41,94,1165,4,311,455
J QUATERNARY SCI,2013,WOS.SCI,1225,46,82,82,55,100,1234,3,221,431
COMPUT COMMUN,2008,WOS.SCI,2,7,16,16,2,2,27,1,0,51
COMPUT COMMUN,2009,WOS.SCI,5,23,45,45,0,0,68,1,0,142
COMPUT COMMUN,2010,WOS.SCI,39,55,119,119,1,2,254,3,14,393
COMPUT COMMUN,2011,WOS.SCI,167,67,139,139,6,36,566,4,49,467
COMPUT COMMUN,2012,WOS.SCI,282,104,180,180,13,37,746,6,97,614
COMPUT COMMUN,2013,WOS.SCI,541,88,125,125,29,61,720,5,143,396
CHINESE J PHYSIOL,2008,WOS.SCI,0,0,7,7,0,0,14,4,0,27
CHINESE J PHYSIOL,2009,WOS.SCI,4,6,27,27,1,1,113,10,0,102
CHINESE J PHYSIOL,2010,WOS.SCI,19,20,46,46,6,7,181,7,11,228
CHINESE J PHYSIOL,2011,WOS.SCI,35,19,44,44,2,5,280,0,15,263
CHINESE J PHYSIOL,2012,WOS.SCI,104,26,49,49,8,29,404,1,31,270
CHINESE J PHYSIOL,2013,WOS.SCI,219,25,45,45,21,52,375,1,68,203
J MOL NEUROSCI,2008,WOS.SCI,5,4,28,28,0,1,47,2,0,132
J MOL NEUROSCI,2009,WOS.SCI,82,30,69,69,1,4,205,2,25,331
J MOL NEUROSCI,2010,WOS.SCI,316,84,139,139,3,29,752,0,115,687
J MOL NEUROSCI,2011,WOS.SCI,638,84,178,178,31,37,2211,1,225,865
J MOL NEUROSCI,2012,WOS.SCI,1166,120,240,240,24,123,2773,1,396,1324
J MOL NEUROSCI,2013,WOS.SCI,1629,115,260,260,41,103,3571,3,517,1490
J SURV ENG,2008,,0,0,0,0,0,0,0,0,0,0
J SURV ENG,2009,WOS.SCI,0,0,3,3,0,0,5,0,0,6
J SURV ENG,2010,,1,0,0,0,0,0,0,0,0,0
J SURV ENG,2011,WOS.SCI,2,1,1,1,0,0,4,0,1,2
J SURV ENG,2012,WOS.SCI,2,0,2,2,0,0,8,0,0,2
J SURV ENG,2013,WOS.SCI,9,1,11,11,0,1,64,0,1,28
J ARCHIT PLAN RES,2008,,0,0,0,0,0,0,0,0,0,0
J ARCHIT PLAN RES,2009,WOS.SSCI,0,0,4,4,0,0,5,0,0,7
J ARCHIT PLAN RES,2010,WOS.SSCI,1,6,12,12,0,1,17,1,0,21
J ARCHIT PLAN RES,2011,WOS.SSCI,11,7,14,14,3,9,47,0,3,27
J ARCHIT PLAN RES,2012,WOS.SSCI,14,8,16,16,7,11,33,0,9,29
J ARCHIT PLAN RES,2013,WOS.SSCI,10,8,15,15,2,7,55,0,1,33
ISSUES LAW MED,2008,WOS.SSCI,0,0,2,2,0,0,8,0,0,2
ISSUES LAW MED,2009,WOS.SSCI,1,3,4,4,0,0,9,2,0,5
ISSUES LAW MED,2010,WOS.SSCI,1,2,2,2,0,0,3,0,0,2
ISSUES LAW MED,2011,WOS.SSCI,6,1,3,3,0,0,6,0,4,5
ISSUES LAW MED,2012,WOS.SSCI,4,1,1,1,0,0,2,0,1,1
ISSUES LAW MED,2013,,7,0,0,0,0,0,0,0,1,0
BMC PLANT BIOL,2008,WOS.SCI,20,17,62,62,0,3,133,3,0,343
BMC PLANT BIOL,2009,WOS.SCI,232,73,136,136,5,14,599,5,76,787
BMC PLANT BIOL,2010,WOS.SCI,827,131,287,287,25,72,2609,0,345,1691
BMC PLANT BIOL,2011,WOS.SCI,1862,108,185,185,47,101,2605,1,685,1187
BMC PLANT BIOL,2012,WOS.SCI,3160,100,245,245,68,175,4351,0,988,1621
BMC PLANT BIOL,2013,WOS.SCI,4057,90,227,227,50,147,4564,0,755,1361
SCHMERZ,2008,WOS.SCI,2,3,14,14,0,1,32,2,0,22
SCHMERZ,2009,WOS.SCI,26,23,55,55,6,12,167,11,6,189
SCHMERZ,2010,WOS.SCI,60,33,64,64,14,27,376,5,28,198
SCHMERZ,2011,WOS.SCI,103,34,63,63,16,30,413,3,49,235
SCHMERZ,2012,WOS.SCI,229,35,73,73,41,62,822,18,63,254
SCHMERZ,2013,WOS.SCI,298,32,60,60,41,78,670,8,101,229
ENTROPY-SWITZ,2008,WOS.SCI,1,1,5,5,0,0,20,2,0,9
ENTROPY-SWITZ,2009,WOS.SCI,15,1,11,11,0,0,60,2,9,20
ENTROPY-SWITZ,2010,WOS.SCI,49,58,94,94,9,21,532,16,10,206
ENTROPY-SWITZ,2011,WOS.SCI,173,57,94,94,21,33,713,10,73,220
ENTROPY-SWITZ,2012,WOS.SCI,301,51,121,121,25,55,1349,11,133,280
ENTROPY-SWITZ,2013,WOS.SCI,593,116,264,264,55,134,2995,25,174,677
MMWR RECOMM REP,2008,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2009,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2010,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2011,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2012,,0,0,0,0,0,0,0,0,0,0
MMWR RECOMM REP,2013,WOS.SCI,20,6,10,10,0,0,332,0,0,76
MET MATER INT,2008,WOS.SCI,0,1,8,8,0,0,11,0,0,29
MET MATER INT,2009,WOS.SCI,14,35,84,84,0,3,193,0,2,357
MET MATER INT,2010,WOS.SCI,108,64,126,126,8,19,415,0,39,499
MET MATER INT,2011,WOS.SCI,259,71,139,139,25,38,581,0,127,506
MET MATER INT,2012,WOS.SCI,514,73,145,145,20,59,770,0,190,593
MET MATER INT,2013,WOS.SCI,581,84,186,186,37,69,1269,1,170,678
EXPERT OPIN THER TAR,2008,WOS.SCI,25,18,72,72,0,2,363,63,0,227
EXPERT OPIN THER TAR,2009,WOS.SCI,255,61,114,114,4,8,1780,99,86,378
EXPERT OPIN THER TAR,2010,WOS.SCI,662,52,108,108,6,16,2503,90,292,388
EXPERT OPIN THER TAR,2011,WOS.SCI,1039,59,112,112,11,21,3496,91,393,391
EXPERT OPIN THER TAR,2012,WOS.SCI,1585,79,131,131,11,23,4507,111,422,462
EXPERT OPIN THER TAR,2013,WOS.SCI,2148,62,128,128,14,30,5019,96,515,506
INT J CHRONIC OBSTR,2008,,0,0,0,0,0,0,0,0,0,0
INT J CHRONIC OBSTR,2009,,0,0,0,0,0,0,0,0,0,0
INT J CHRONIC OBSTR,2010,,0,0,0,0,0,0,0,0,0,0
INT J CHRONIC OBSTR,2011,WOS.SCI,23,68,68,68,3,3,685,13,0,345
INT J CHRONIC OBSTR,2012,WOS.SCI,169,83,83,83,25,25,1068,14,72,406
INT J CHRONIC OBSTR,2013,WOS.SCI,439,80,80,80,64,64,1033,16,230,388
FLA ENTOMOL,2008,WOS.SCI,0,0,14,14,0,0,21,0,0,45
FLA ENTOMOL,2009,WOS.SCI,14,24,44,44,1,1,79,0,3,138
FLA ENTOMOL,2010,WOS.SCI,67,32,64,64,3,8,137,0,20,191
FLA ENTOMOL,2011,WOS.SCI,140,44,125,125,11,33,451,0,59,421
FLA ENTOMOL,2012,WOS.SCI,266,74,154,154,26,57,626,0,86,518
FLA ENTOMOL,2013,WOS.SCI,347,92,203,203,37,85,1097,1,98,707
SCOT J POLIT ECON,2008,WOS.SSCI,0,0,1,1,0,0,2,0,0,3
SCOT J POLIT ECON,2009,WOS.SSCI,0,3,13,13,0,0,19,0,0,20
SCOT J POLIT ECON,2010,WOS.SSCI,7,4,14,14,0,0,40,0,4,30
SCOT J POLIT ECON,2011,WOS.SSCI,11,12,26,26,0,0,67,0,5,55
SCOT J POLIT ECON,2012,WOS.SSCI,24,9,22,22,0,0,93,0,6,39
SCOT J POLIT ECON,2013,WOS.SSCI,45,9,21,21,1,2,91,0,6,41
OPT EXPRESS,2008,WOS.SCI,348,190,933,933,12,155,1816,3,0,3828
OPT EXPRESS,2009,WOS.SCI,4116,949,2186,2186,442,1355,8219,1,1251,8478
OPT EXPRESS,2010,WOS.SCI,11325,1414,2806,2806,1396,3162,16516,0,4642,10753
OPT EXPRESS,2011,WOS.SCI,20164,1346,2920,2920,2010,4675,23260,0,7304,11693
OPT EXPRESS,2012,WOS.SCI,29687,1494,3158,3158,2852,6270,30343,0,8475,12985
OPT EXPRESS,2013,WOS.SCI,39103,1536,3269,3269,3397,7776,37735,1,8845,13466
INT J PEDIATR OBES,2008,WOS.SCI,0,8,8,8,0,0,17,5,0,17
INT J PEDIATR OBES,2009,WOS.SCI,6,27,27,27,0,0,76,1,0,131
INT J PEDIATR OBES,2010,WOS.SCI,74,52,68,68,3,3,327,6,18,278
INT J PEDIATR OBES,2011,WOS.SCI,329,90,150,150,18,69,1233,22,108,702
INT J PEDIATR OBES,2012,,640,0,0,0,0,0,0,0,243,0
INT J PEDIATR OBES,2013,,827,0,0,0,0,0,0,0,216,0
ARCH BIOL SCI,2008,WOS.SCI,0,9,9,9,0,0,11,0,0,37
ARCH BIOL SCI,2009,WOS.SCI,3,41,41,41,2,2,93,0,2,166
ARCH BIOL SCI,2010,WOS.SCI,24,80,80,80,9,9,259,1,8,358
ARCH BIOL SCI,2011,WOS.SCI,63,117,117,117,24,24,430,1,25,502
ARCH BIOL SCI,2012,WOS.SCI,175,159,159,159,55,55,843,1,94,667
ARCH BIOL SCI,2013,WOS.SCI,250,161,161,161,70,70,938,0,126,744
NATURE,2008,WOS.SCI,2420,341,979,979,43,242,2049,33,0,4690
NATURE,2009,WOS.SCI,20494,703,1408,1408,309,763,6427,66,6867,8494
NATURE,2010,WOS.SCI,50295,735,1458,1458,599,1212,10008,37,22037,10417
NATURE,2011,WOS.SCI,82768,735,1481,1481,867,1613,13523,37,30104,11032
NATURE,2012,WOS.SCI,118334,810,1661,1661,947,1980,16535,34,32529,13322
NATURE,2013,WOS.SCI,156818,877,1696,1696,1107,2414,18861,28,34666,10795
INT J ECON THEORY,2008,WOS.SSCI,0,1,3,3,0,0,3,0,0,5
INT J ECON THEORY,2009,WOS.SSCI,2,5,7,7,0,0,8,0,0,13
INT J ECON THEORY,2010,WOS.SSCI,4,6,11,11,0,0,23,0,0,22
INT J ECON THEORY,2011,WOS.SSCI,14,5,11,11,0,0,21,0,7,19
INT J ECON THEORY,2012,WOS.SSCI,37,15,25,25,24,25,80,0,7,48
INT J ECON THEORY,2013,WOS.SSCI,36,15,23,23,12,12,88,0,14,38
MECH BASED DES STRUC,2008,WOS.SCI,0,3,4,4,0,0,4,0,0,11
MECH BASED DES STRUC,2009,WOS.SCI,2,15,15,15,0,0,26,0,0,35
MECH BASED DES STRUC,2010,WOS.SCI,7,16,16,16,1,1,38,0,4,42
MECH BASED DES STRUC,2011,WOS.SCI,15,17,17,17,1,1,48,1,6,42
MECH BASED DES STRUC,2012,WOS.SCI,25,27,27,27,7,7,85,0,8,84
MECH BASED DES STRUC,2013,WOS.SCI,56,18,25,25,7,19,129,0,10,75
EXPERT OPIN DRUG SAF,2008,WOS.SCI,4,6,40,40,0,0,138,37,0,119
EXPERT OPIN DRUG SAF,2009,WOS.SCI,82,34,66,66,2,4,626,60,27,176
EXPERT OPIN DRUG SAF,2010,WOS.SCI,287,39,81,81,0,5,1072,72,127,262
EXPERT OPIN DRUG SAF,2011,WOS.SCI,515,44,86,86,2,5,1526,79,215,265
EXPERT OPIN DRUG SAF,2012,WOS.SCI,666,48,94,94,7,18,1870,83,205,332
EXPERT OPIN DRUG SAF,2013,WOS.SCI,935,38,84,84,17,27,2072,74,242,288
OXFORD B ECON STAT,2008,WOS.SCI,13,1,9,9,0,13,22,0,0,18
OXFORD B ECON STAT,2009,WOS.SCI,6,5,12,12,0,0,17,0,2,24
OXFORD B ECON STAT,2010,WOS.SCI,31,11,20,20,0,0,50,0,12,39
OXFORD B ECON STAT,2011,WOS.SCI,73,15,28,28,1,2,77,0,29,55
OXFORD B ECON STAT,2012,WOS.SCI,149,18,37,37,1,1,140,0,13,79
OXFORD B ECON STAT,2013,WOS.SCI,219,21,39,39,3,5,207,0,25,86
CHEM ENG COMMUN,2008,WOS.SCI,0,3,3,3,0,0,3,0,0,10
CHEM ENG COMMUN,2009,WOS.SCI,7,30,30,30,1,1,71,4,0,100
CHEM ENG COMMUN,2010,WOS.SCI,53,65,65,65,5,5,238,0,22,188
CHEM ENG COMMUN,2011,WOS.SCI,132,76,76,76,12,12,358,0,67,211
CHEM ENG COMMUN,2012,WOS.SCI,243,87,87,87,39,39,761,2,106,274
CHEM ENG COMMUN,2013,WOS.SCI,270,51,103,103,30,43,914,1,71,328
EXP MECH,2008,WOS.SCI,1,1,4,4,0,0,4,0,0,11
EXP MECH,2009,WOS.SCI,18,9,18,18,0,1,26,0,3,65
EXP MECH,2010,WOS.SCI,90,35,84,84,5,23,341,2,22,252
EXP MECH,2011,WOS.SCI,203,45,93,93,11,23,410,0,73,311
EXP MECH,2012,WOS.SCI,330,44,121,121,4,35,592,0,122,396
EXP MECH,2013,WOS.SCI,553,70,142,142,27,77,906,0,116,506
LEUKEMIA RES,2008,WOS.SCI,8,10,33,33,0,1,37,0,0,161
LEUKEMIA RES,2009,WOS.SCI,178,93,219,219,4,25,689,11,25,1176
LEUKEMIA RES,2010,WOS.SCI,580,171,374,374,18,63,1696,16,173,2342
LEUKEMIA RES,2011,WOS.SCI,1247,189,386,386,47,105,2327,9,535,2457
LEUKEMIA RES,2012,WOS.SCI,1899,180,350,350,59,141,3296,25,636,2232
LEUKEMIA RES,2013,WOS.SCI,2402,123,299,299,66,171,3650,16,582,2140
CLIN RES CARDIOL,2008,WOS.SCI,4,2,23,23,0,2,90,2,0,169
CLIN RES CARDIOL,2009,WOS.SCI,96,43,87,87,10,36,300,3,30,520
CLIN RES CARDIOL,2010,WOS.SCI,311,62,118,118,61,95,731,9,145,727
CLIN RES CARDIOL,2011,WOS.SCI,575,71,137,137,83,171,1218,7,213,845
CLIN RES CARDIOL,2012,WOS.SCI,983,65,132,132,129,314,1455,2,314,912
CLIN RES CARDIOL,2013,WOS.SCI,1299,62,117,117,120,249,1532,7,361,806
ANIM BIOL,2008,WOS.SCI,2,4,4,4,2,2,12,0,0,11
ANIM BIOL,2009,WOS.SCI,10,16,16,16,5,5,45,0,0,52
ANIM BIOL,2010,WOS.SCI,24,27,27,27,1,1,68,0,8,99
ANIM BIOL,2011,WOS.SCI,41,31,31,31,4,4,130,0,21,119
ANIM BIOL,2012,WOS.SCI,75,32,32,32,1,1,176,0,21,114
ANIM BIOL,2013,WOS.SCI,105,32,32,32,7,7,280,1,23,101
MATH SLOVACA,2008,WOS.SCI,1,0,7,7,0,1,12,0,0,7
MATH SLOVACA,2009,WOS.SCI,2,4,9,9,0,0,14,1,0,17
MATH SLOVACA,2010,WOS.SCI,9,9,30,30,2,3,61,0,5,44
MATH SLOVACA,2011,WOS.SCI,24,14,33,33,3,7,85,0,5,54
MATH SLOVACA,2012,WOS.SCI,66,28,54,54,4,13,162,0,23,95
MATH SLOVACA,2013,WOS.SCI,73,35,71,71,7,14,250,0,39,137
CURRIC MATTERS,2008,WOS.SSCI,0,1,1,1,0,0,1,0,0,2
CURRIC MATTERS,2009,WOS.SSCI,0,2,2,2,0,0,4,0,0,2
CURRIC MATTERS,2010,WOS.SSCI,0,4,4,4,0,0,9,0,0,5
CURRIC MATTERS,2011,WOS.SSCI,3,9,9,9,3,3,23,0,1,18
CURRIC MATTERS,2012,,4,0,0,0,0,0,0,0,2,0
CURRIC MATTERS,2013,,2,0,0,0,0,0,0,0,1,0
BIO-MED MATER ENG,2008,WOS.SCI,0,8,8,8,0,0,12,0,0,47
BIO-MED MATER ENG,2009,WOS.SCI,5,25,25,25,1,1,113,2,1,146
BIO-MED MATER ENG,2010,WOS.SCI,23,30,30,30,1,1,119,0,11,153
BIO-MED MATER ENG,2011,WOS.SCI,88,27,27,27,2,2,167,1,39,138
BIO-MED MATER ENG,2012,WOS.SCI,114,34,34,34,7,7,326,0,35,187
BIO-MED MATER ENG,2013,WOS.SCI,140,40,40,40,6,6,320,0,29,191
INT J SATELL COMM N,2008,WOS.SCI,0,1,2,2,0,0,3,0,0,3
INT J SATELL COMM N,2009,WOS.SCI,2,2,7,7,0,1,10,0,0,31
INT J SATELL COMM N,2010,WOS.SCI,7,5,10,10,1,5,21,0,0,50
INT J SATELL COMM N,2011,WOS.SCI,32,9,15,15,5,10,52,0,12,45
INT J SATELL COMM N,2012,WOS.SCI,16,10,14,14,4,5,41,0,9,45
INT J SATELL COMM N,2013,WOS.SCI,26,6,13,13,2,5,42,0,11,62
PALEOBIOLOGY,2008,WOS.SCI,5,6,10,10,1,1,14,2,0,23
PALEOBIOLOGY,2009,WOS.SCI,39,13,27,27,1,4,78,11,8,58
PALEOBIOLOGY,2010,WOS.SCI,115,18,34,34,9,16,203,1,58,83
PALEOBIOLOGY,2011,WOS.SCI,250,19,41,41,27,39,348,0,91,111
PALEOBIOLOGY,2012,WOS.SCI,356,19,39,39,14,35,383,0,105,112
PALEOBIOLOGY,2013,WOS.SCI,459,15,34,34,16,23,558,0,92,90
DISSOLUT TECHNOL,2008,WOS.SCI,0,0,2,2,0,0,2,0,0,10
DISSOLUT TECHNOL,2009,WOS.SCI,0,3,9,9,0,0,23,0,0,29
DISSOLUT TECHNOL,2010,WOS.SCI,6,6,9,9,1,2,17,0,1,43
DISSOLUT TECHNOL,2011,WOS.SCI,16,5,18,18,0,2,79,1,5,52
DISSOLUT TECHNOL,2012,WOS.SCI,31,11,19,19,2,4,77,0,3,69
DISSOLUT TECHNOL,2013,WOS.SCI,51,10,20,20,2,4,72,0,14,93
ADV VIRUS RES,2008,WOS.SCI,0,8,8,8,0,0,44,8,0,19
ADV VIRUS RES,2009,WOS.SCI,41,13,13,13,0,0,220,13,7,25
ADV VIRUS RES,2010,WOS.SCI,98,14,14,14,14,14,575,14,52,35
ADV VIRUS RES,2011,WOS.SCI,212,31,31,31,2,2,653,31,56,80
ADV VIRUS RES,2012,WOS.SCI,288,33,33,33,3,3,966,33,51,107
ADV VIRUS RES,2013,WOS.SCI,463,22,22,22,10,10,694,22,127,62
STUD U BABES-BOL CHE,2008,WOS.SCI,0,8,8,8,0,0,19,0,0,32
STUD U BABES-BOL CHE,2009,WOS.SCI,13,86,86,86,9,9,307,0,2,283
STUD U BABES-BOL CHE,2010,WOS.SCI,28,118,118,118,17,17,471,0,16,357
STUD U BABES-BOL CHE,2011,WOS.SCI,36,94,94,94,14,14,441,0,22,320
STUD U BABES-BOL CHE,2012,WOS.SCI,47,91,91,91,12,12,509,0,18,297
STUD U BABES-BOL CHE,2013,WOS.SCI,63,27,27,27,8,8,197,0,13,93
LETT APPL MICROBIOL,2008,WOS.SCI,0,5,34,34,0,0,42,0,0,148
LETT APPL MICROBIOL,2009,WOS.SCI,77,77,178,178,4,7,441,0,11,740
LETT APPL MICROBIOL,2010,WOS.SCI,358,94,196,196,3,18,728,0,142,910
LETT APPL MICROBIOL,2011,WOS.SCI,706,94,195,195,16,29,1062,0,321,914
LETT APPL MICROBIOL,2012,WOS.SCI,1135,82,149,149,11,22,1065,0,327,706
LETT APPL MICROBIOL,2013,WOS.SCI,1503,63,137,137,10,22,1267,0,272,688
MED SCI LAW,2008,WOS.SCI,0,0,1,1,0,0,1,0,0,2
MED SCI LAW,2009,WOS.SCI,0,4,12,12,0,0,41,0,0,32
MED SCI LAW,2010,WOS.SCI,5,9,25,25,1,2,67,6,2,64
MED SCI LAW,2011,WOS.SCI,21,24,40,40,0,2,103,6,8,138
MED SCI LAW,2012,WOS.SCI,40,17,36,36,1,3,108,5,11,112
MED SCI LAW,2013,WOS.SCI,74,18,36,36,5,13,173,5,19,156
INT REGIONAL SCI REV,2008,WOS.SSCI,0,0,2,2,0,0,3,0,0,4
INT REGIONAL SCI REV,2009,WOS.SSCI,2,2,6,6,0,0,17,0,1,14
INT REGIONAL SCI REV,2010,WOS.SSCI,6,6,12,12,0,0,28,0,2,32
INT REGIONAL SCI REV,2011,WOS.SSCI,19,9,14,14,0,0,50,0,4,41
INT REGIONAL SCI REV,2012,WOS.SSCI,47,8,16,16,1,3,131,0,21,36
INT REGIONAL SCI REV,2013,WOS.SSCI,64,6,16,16,0,6,138,1,10,31
J ELASTOM PLAST,2008,,0,0,0,0,0,0,0,0,0,0
J ELASTOM PLAST,2009,WOS.SCI,0,0,5,5,0,0,15,0,0,18
J ELASTOM PLAST,2010,WOS.SCI,4,5,15,15,0,1,35,0,2,41
J ELASTOM PLAST,2011,WOS.SCI,13,11,24,24,0,1,81,0,5,68
J ELASTOM PLAST,2012,WOS.SCI,31,13,25,25,2,2,93,0,19,90
J ELASTOM PLAST,2013,WOS.SCI,48,14,28,28,3,9,120,0,15,92
J AM POMOL SOC,2008,WOS.SCI,0,0,6,6,0,0,6,0,0,13
J AM POMOL SOC,2009,WOS.SCI,2,2,10,10,0,2,13,0,0,53
J AM POMOL SOC,2010,WOS.SCI,3,5,9,9,0,0,14,0,2,23
J AM POMOL SOC,2011,WOS.SCI,11,5,16,16,1,3,34,0,7,85
J AM POMOL SOC,2012,WOS.SCI,25,11,18,18,4,10,48,1,3,78
J AM POMOL SOC,2013,,13,0,0,0,0,0,0,0,4,0
GLOBALIZATIONS,2008,WOS.SSCI,5,7,7,7,5,5,9,1,0,13
GLOBALIZATIONS,2009,WOS.SSCI,2,14,14,14,1,1,24,0,0,17
GLOBALIZATIONS,2010,WOS.SSCI,23,15,22,22,10,10,77,0,5,25
GLOBALIZATIONS,2011,WOS.SSCI,37,33,33,33,6,6,73,0,16,46
GLOBALIZATIONS,2012,WOS.SSCI,68,51,51,51,20,20,212,0,33,68
GLOBALIZATIONS,2013,WOS.SSCI,192,31,58,58,63,75,378,0,16,72
CURR OPIN INFECT DIS,2008,WOS.SCI,4,10,49,49,0,0,380,49,0,112
CURR OPIN INFECT DIS,2009,WOS.SCI,289,44,79,79,2,5,1279,75,84,181
CURR OPIN INFECT DIS,2010,WOS.SCI,715,39,84,84,6,12,2221,80,344,176
CURR OPIN INFECT DIS,2011,WOS.SCI,1161,46,93,93,5,12,2593,89,379,213
CURR OPIN INFECT DIS,2012,WOS.SCI,1579,46,89,89,12,30,3003,87,428,202
CURR OPIN INFECT DIS,2013,WOS.SCI,1901,48,83,83,8,13,2904,82,410,203
J MINIM INVAS GYN,2008,WOS.SCI,7,4,27,27,0,3,45,4,0,109
J MINIM INVAS GYN,2009,WOS.SCI,59,35,100,100,3,15,318,12,12,381
J MINIM INVAS GYN,2010,WOS.SCI,202,70,139,139,18,55,480,19,63,502
J MINIM INVAS GYN,2011,WOS.SCI,472,77,151,151,43,69,764,13,184,673
J MINIM INVAS GYN,2012,WOS.SCI,655,73,146,146,46,101,934,15,192,604
J MINIM INVAS GYN,2013,WOS.SCI,833,69,155,155,69,158,1174,17,167,622
ADV MATER PROCESS,2008,WOS.SCI,0,0,1,1,0,0,1,0,0,5
ADV MATER PROCESS,2009,WOS.SCI,1,0,1,1,0,0,3,0,1,1
ADV MATER PROCESS,2010,WOS.SCI,0,0,2,2,0,0,18,0,0,8
ADV MATER PROCESS,2011,WOS.SCI,1,2,4,4,0,0,23,0,0,14
ADV MATER PROCESS,2012,WOS.SCI,7,7,11,11,1,1,40,0,4,27
ADV MATER PROCESS,2013,WOS.SCI,9,9,16,16,1,1,59,0,6,52
PHYS CHEM LIQ,2008,WOS.SCI,0,5,5,5,0,0,6,0,0,17
PHYS CHEM LIQ,2009,WOS.SCI,12,19,19,19,2,2,37,1,4,37
PHYS CHEM LIQ,2010,WOS.SCI,26,31,31,31,4,4,72,1,8,76
PHYS CHEM LIQ,2011,WOS.SCI,46,50,50,50,8,8,165,1,19,140
PHYS CHEM LIQ,2012,WOS.SCI,105,57,57,57,33,33,280,1,46,170
PHYS CHEM LIQ,2013,WOS.SCI,104,26,53,53,7,20,327,0,27,165
AGR SYST,2008,WOS.SCI,2,2,13,13,1,1,18,0,0,44
AGR SYST,2009,WOS.SCI,19,17,29,29,0,1,73,2,7,111
AGR SYST,2010,WOS.SCI,119,25,54,54,4,10,252,0,56,245
AGR SYST,2011,WOS.SCI,311,40,72,72,22,34,436,1,115,321
AGR SYST,2012,WOS.SCI,494,45,83,83,35,67,762,2,166,343
